Movie_name,Rating,Votes,Duration,genre
Kang Mak,6.4, (897),2h 2m,horror
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,7.9, (159),6h 3m,horror
Massacre at Femur Creek,6.6, (597),1h 22m,horror
Curse of the Sin Eater,4.9, (807),1h 30m,horror
Succubus,3.5, (895),1h 36m,horror
All Hallows' Eve: Inferno,4.3, (136),1h 14m,horror
Sea of Madness,6.8, (31),1h 33m,horror
Bigfoot Exorcist,2.7, (226),1h 10m,horror
Broken Bird,5.7, (127),1h 39m,horror
Demonte Colony 2,6.6, (4.6K),2h 24m,horror
Hillock Haunting,3.4, (242),1h 23m,horror
Alpacalypse,5.8, (35),1h 17m,horror
Kabir Azabi: Insi ve Cinni,4.0, (23),1h 25m,horror
Possession Street,6.5, (35),1h 36m,horror
Haunt Season,4.9, (878),1h 21m,horror
The Ritual,3.3, (24),1h 40m,horror
Parvulos,6.6, (396),1h 59m,horror
Murder Mubarak,5.8, (51K),2h 20m,horror
Angels Fallen: Warriors of Peace,4.9, (6.4K),1h 43m,horror
Operation Blood Hunt,3.4, (526),1h 33m,horror
Dancing Village: The Curse Begins,5.7, (4.2K),2h 2m,horror
The Train of Death,4.7, (724),1h 43m,horror
Pacific Fear,3.5, (293),1h 25m,horror
Bloody Axe Wound,5.0, (1K),1h 23m,horror
Black Cab,4.1, (1.9K),1h 28m,horror
Invader,4.6, (156),1h 10m,horror
Bloodline Killer,4.2, (5.2K),1h 45m,horror
Paranoia,4.1, (401),1h 35m,horror
Cinderella's Revenge,3.7, (1.2K),1h 25m,horror
DarkGame,4.6, (2.9K),1h 40m,horror
Consumed,3.7, (637),1h 29m,horror
Salem Witch Doll,2.3, (142),1h 16m,horror
Death Whisperer 2,6.3, (1.5K),1h 50m,horror
Replicator,3.7, (178),1h 15m,horror
Amityville: Where the Echo Lives,1.5, (437),1h 29m,horror
Alien Country,4.5, (410),1h 36m,horror
Holnap meghalok,4.1, (123),1h 25m,horror
The Lost Daughter,6.0, (317),1h 39m,horror
Love Me Dead,6.8, (44),1h 27m,horror
Desert Fiends,4.9, (872),1h 46m,horror
Bhootpori,5.7, (215),1h 50m,horror
SinÉl,5.4, (16),1h 12m,horror
Siccin 7,4.1, (1K),1h 34m,horror
Seeds,5.0, (232),1h 22m,horror
Sorop,5.4, (244),1h 43m,horror
The Witch: Revenge,5.3, (879),1h 40m,horror
Espantaho,4.8, (233),1h 30m,horror
Believer,4.6, (436),1h 48m,horror
Bad Fish,3.3, (345),1h 24m,horror
The American Backyard,6.2, (203),1h 47m,horror
404 Run Run,5.7, (493),1h 44m,horror
Poison Sangga: The Homewrecker's Curse,6.8, (375),1h 58m,horror
Wanita Ahli Neraka,5.0, (308),1h 35m,horror
Aranmanai 4,5.0, (2.4K),2h 28m,horror
Gacy: Serial Killer Next Door,3.3, (487),1h 37m,horror
Hide N Seek,8.8, (2.2K),2h 14m,horror
Seven Cemeteries,4.6, (669),1h 24m,horror
Mom,5.2, (230),1h 35m,horror
Left One Alive,3.1, (20),1h 29m,horror
Death Streamer,3.1, (234),1h 12m,horror
Kalinga,5.9, (7.6K),1h 56m,horror
You Shall Not Sleep Tonight,4.1, (392),1h 17m,horror
Una ballena,5.6, (175),1h 48m,horror
We Are Wolves,3.4, (270),1h 37m,horror
Water Horse,5.1, (258),1h 25m,horror
#AMFAD: All My Friends Are Dead,4.5, (1.3K),1h 31m,horror
Shark Girl,2.5, (181),1h 22m,horror
Wake,3.4, (285),1h 25m,horror
#MissingCouple,5.3, (746),1h 33m,horror
Curse of the Seven Oceans,5.5, (524),1h 34m,horror
The Hangman,3.3, (1K),1h 32m,horror
The Hunted,5.2, (397),1h 34m,horror
Kakuda,5.4, (6.4K),1h 56m,horror
Soul Reaper,5.7, (329),1h 52m,horror
Vina: Before 7 Days,5.4, (611),1h 40m,horror
Devils Stay,4.8, (344),1h 35m,horror
Mutants of Nature Cove,3.6, (167),1h 28m,horror
The Little Mermaid,3.5, (210),1h 29m,horror
What Lurks Beneath,4.3, (805),1h 42m,horror
The Legend of Lake Hollow,3.7, (551),1h 28m,horror
Operation Undead,4.7, (441),1h 50m,horror
Possession: Kerasukan,3.6, (309),1h 34m,horror
Desert Road,6.8, (166),1h 30m,horror
