Movie_name,Rating,Votes,Duration,genre
Harbin,6.2, (991),1h 48m,action
Sikandar Ka Muqaddar,5.9, (25K),2h 22m,action
Kanguva,4.5, (15K),2h 32m,action
Invasion,4.8, (755),1h 31m,action
The Price of Money: A Largo Winch Adventure,5.1, (1.3K),1h 40m,action
Martin,2.2, (36K),2h 27m,action
Despatch,4.4, (4.5K),2h 33m,action
Escape,6.4, (2.2K),1h 34m,action
Levels,5.0, (1.6K),1h 33m,action
Pins & Needles,6.8, (24),1h 35m,action
The Clean Up Crew,4.2, (1.3K),1h 35m,action
Khadaan,7.0, (2.2K),2h 17m,action
Shark Warning,3.5, (377),1h 34m,action
Viduthalai Part 2,7.8, (17K),2h 50m,action
Por,5.1, (627),2h 34m,action
Rifle Club,7.0, (4.6K),1h 53m,action
Bureau 749,3.9, (584),2h 3m,action
Gandhi 3,5.7, (247),2h 23m,action
Shoutai,6.8, (712),2h,action
Devil's Knight,5.3, (966),1h 30m,action
Hounds of War,4.5, (2K),1h 35m,action
Overlord: The Sacred Kingdom,6.9, (1.5K),2h 15m,action
The Waves of Madness,5.8, (112),1h 8m,action
Handsome Guys,6.5, (978),1h 41m,action
Mafia Wars,3.6, (292),1h 38m,action
Baby Invasion,4.6, (590),1h 20m,action
Article 370,7.8, (25K),2h 38m,action
Bachhala Malli,8.2, (4K),2h 20m,action
In the Fire of War,7.1, (211),1h 55m,action
Je Jatt Vigarh Gya,5.6, (836),2h 12m,action
DNA,5.1, (218),2h 36m,action
Bidurbhai,9.2, (414),2h 28m,action
Anaconda,4.9, (674),1h 24m,action
Rats!,6.5, (216),1h 25m,action
Megamind vs. The Doom Syndicate,2.5, (5.7K),1h 23m,action
Darkness of Man,4.7, (3.3K),1h 49m,action
Lights Out,4.9, (1.9K),1h 30m,action
Spiders on a Plane,4.7, (402),1h 18m,action
Eye for an Eye 2,6.6, (555),1h 30m,action
Fighting the Fire,8.2, (1.7K),1h 55m,action
Dark Match,5.4, (1.2K),1h 34m,action
Air Force One Down,4.4, (3K),1h 24m,action
Uninvited,5.6, (343),1h 33m,action
Peter Five Eight,3.5, (1.1K),1h 40m,action
Sons of Rizk 3,6.6, (1.8K),2h 5m,action
Bade Miyan Chote Miyan,3.8, (39K),2h 43m,action
City Hunter,6.3, (5.8K),1h 42m,action
Yodha,5.7, (9K),2h 10m,action
Where Is Gilgamesh?,8.9, (640),1h 30m,action
The Tiger's Apprentice,5.8, (2.3K),1h 24m,action
Murder Company,3.6, (1.6K),1h 26m,action
The Wages of Fear,4.6, (4.2K),1h 44m,action
S.T.A.L.K.E.R.: Shadow of the Zone,4.8, (643),1h 11m,action
Golden Kamuy,6.3, (2.7K),2h 7m,action
Kuang Bao Ju Xi,5.6, (86),1h 15m,action
Kallu Compound 1995,7.9, (2K),2h 20m,action
How to Rob a Bank,6.6, (4.3K),1h 28m,action
Terminator: Skynet Rising,6.7, (283),1h 28m,action
Yudhra,4.9, (13K),2h 22m,action
Continental Split,3.5, (571),1h 28m,action
The Ballad of Davy Crockett,4.6, (265),1h 36m,action
The Last Kumite,4.6, (2.4K),1h 45m,action
Sunray: Fallen Soldier,4.3, (705),1h 55m,action
Hanu Man,7.7, (29K),2h 38m,action
A Legend,4.7, (1K),2h 9m,action
War of the Worlds: Extinction,3.0, (218),1h 24m,action
Mobile Suit Gundam SEED Freedom,6.6, (986),2h 4m,action
Snow White and the Seven Samurai,3.2, (315),1h 28m,action
Panda Plan,5.1, (1.6K),1h 39m,action
24 Hours to D-Day,3.5, (85),1h 23m,action
Troubleshooters,6.4, (436),1h 50m,action
Jigra,6.0, (24K),2h 33m,action
Kizumonogatari: Koyomi Vamp,7.0, (111),2h 24m,action
Black Heat,8.2, (138),1h 33m,action
Crisis Negotiators,6.7, (752),2h,action
Sikaar,8.3, (688),2h 30m,action
Hunt the Wicked,5.4, (183),1h 42m,action
Die Hart 2: Die Harter,4.3, (5.6K),1h 32m,action
Shekko,5.9, (616),2h,action
Vettaiyan,6.9, (40K),2h 43m,action
Vanvaas,6.6, (1.5K),2h 40m,action
"I, the Executioner",6.3, (2K),1h 58m,action
The Last Stand of Ellen Cole,7.0, (85),1h 37m,action
Angels Fallen: Warriors of Peace,4.9, (6.4K),1h 43m,action
Operation Blood Hunt,3.4, (526),1h 33m,action
KA,7.0, (1.7K),2h 31m,action
Operation Valentine,5.3, (1.4K),2h 13m,action
Max,7.1, (3.5K),2h 12m,action
Freedom,5.9, (1.5K),1h 50m,action
Tillu Square,6.6, (3.5K),2h 17m,action
Siren,6.4, (3K),2h 34m,action
Rogue Elements: A Ryan Drake Story,4.3, (1.1K),44m,action
72 Hours,4.0, (338),1h 27m,action
Ayalaan,5.9, (4K),2h 35m,action
Kingdom 4: Return of the Great General,7.1, (1.4K),2h 25m,action
Bangkok Dog,4.8, (246),1h 25m,action
Death Whisperer 2,6.3, (1.5K),1h 50m,action
Hijack 1971,6.8, (3.5K),1h 40m,action
Auron Mein Kahan Dum Tha,6.4, (41K),2h 30m,action
Sixty Minutes,5.7, (5.3K),1h 28m,action
Mura,7.2, (6.4K),2h 9m,action
Alien Country,4.5, (410),1h 36m,action
Double Ismart,2.9, (2.2K),2h 36m,action
The Dragon's Tomb,6.7, (55),1h 17m,action
Go for Broke,5.7, (287),1h 55m,action
Bohurupi,7.9, (1.7K),2h 35m,action
Razakar: The Silent Genocide of Hyderabad,7.3, (5.3K),2h 46m,action
200% Wolf,5.9, (1.3K),1h 38m,action
Lal Salaam,4.5, (1.5K),2h 30m,action
Savi,6.1, (35K),2h 6m,action
Wanted Man,4.8, (2.6K),1h 25m,action
Ryan's World the Movie: Titan Universe Adventure,1.8, (735),1h 20m,action
Don't Mess with Grandma,5.5, (295),1h 21m,action
Fight for Tomorrow,6.6, (24),1h 41m,action
Seeds,5.0, (232),1h 22m,action
Garudan,7.1, (3.4K),2h 13m,action
UI,6.8, (5.8K),2h 15m,action
Baki Hanma VS Kengan Ashura,5.7, (2K),1h 2m,action
Mongol,8.6, (109),2h 35m,action
Eagle,5.9, (5K),2h 39m,action
Yolo,6.9, (3.9K),2h 9m,action
Yuva,5.7, (851),2h 33m,action
Outlaw,5.2, (974),1h 22m,action
First Nights at Freddy's,9.4, (19),1h 38m,action
Alienoid: The Return to the Future,6.5, (2.8K),2h 2m,action
Bhaje Vaayu Vegam,6.1, (771),2h 16m,action
Fluxx,6.0, (124),1h 40m,action
The Lockdown,4.3, (630),1h 57m,action
Six jours,5.7, (270),1h 35m,action
Gladiators,4.4, (117),1h 35m,action
The Kingdom,7.0, (152),2h 13m,action
Purushothamudu,5.4, (2.7K),2h,action
Get Fast,3.7, (489),1h 28m,action
Captain Miller,6.9, (12K),2h 37m,action
Operation: Raqqa,5.6, (307),1h 47m,action
Sorgavaasal,6.6, (1.4K),2h 18m,action
Mathu Vadalara 2,7.0, (1.8K),2h 19m,action
Alangu,8.0, (1.3K),2h 11m,action
Cesium Fallout,6.3, (900),2h 15m,action
Heart of the Hunter,4.7, (2.2K),1h 45m,action
Joe Baby,5.2, (107),1h 26m,action
Kondal,5.3, (801),2h 27m,action
Son's Will,7.4, (1.1K),2h 28m,action
High Forces,5.8, (588),1h 59m,action
Second Life,6.8, (60),1h 45m,action
Athhoi,7.3, (236),2h 38m,action
Guy Manley: Super Spy,4.1, (163),1h 32m,action
Nice Girls,4.2, (1.2K),1h 32m,action
The Hangman,3.3, (1K),1h 32m,action
Mr. Bachchan,3.6, (5.3K),2h 30m,action
Bionic,4.3, (1.8K),1h 50m,action
All the Lost Ones,3.6, (273),1h 46m,action
Mission: Cross,6.1, (2.7K),1h 45m,action
Operation Undead,4.7, (441),1h 50m,action
Weapon,5.5, (5.9K),2h,action
Harom Hara,6.6, (3.1K),2h 34m,action
GTMax,5.0, (1.3K),1h 40m,action
Fight Another Day,4.6, (380),1h 37m,action
Bastar: The Naxal Story,6.4, (3.3K),2h 4m,action
No Time to Spy: A Loud House Movie,6.3, (504),1h 21m,action
Ferry 2,5.6, (4K),1h 34m,action
Zero,5.9, (83),1h 28m,action
Devaki Nandana Vasudeva,6.5, (2.8K),2h 8m,action
Rathnam,5.4, (3.7K),2h 35m,action
Turbo,5.9, (3.7K),2h 35m,action
