Movie_name,Rating,Votes,Duration,genre
Mission: Cross,6.1, (2.7K),1h 45m,crime
Harom Hara,6.6, (3.1K),2h 34m,crime
Faultline,4.7, (143),1h 32m,crime
GTMax,5.0, (1.3K),1h 40m,crime
Bastar: The Naxal Story,6.4, (3.3K),2h 4m,crime
The Notorious Finster,4.0, (182),1h 53m,crime
Jamalinte Punjiri,8.7, (171),2h 18m,crime
Ferry 2,5.6, (4K),1h 34m,crime
Suspicion,3.6, (219),1h 55m,crime
Shakhahaari,7.5, (1.3K),2h 25m,crime
In Youth We Trust,6.6, (536),2h 12m,crime
Rendel: Cycle of Revenge,3.6, (254),1h 39m,crime
Risky Business,6.7, (215),1h 47m,crime
Protein,6.7, (76),1h 40m,crime
The Final: Attack on Wembley,6.3, (2.6K),1h 22m,crime
One of Those Days When Hemme Dies,6.3, (710),1h 23m,crime
Sheriff,6.9, (1.2K),2h 13m,crime
Roadkill,3.7, (696),1h 30m,crime
Dandupalayam,5.9, (1.5K),2h 17m,crime
Haunting Trophies,6.1, (87),2h 30m,crime
Hellhound,4.3, (530),1h 43m,crime
Sattam En Kaiyil,7.9, (2.3K),2h 4m,crime
Prasanna Vadanam,6.6, (579),2h 26m,crime
A Gangster's Kiss,4.6, (49),1h 21m,crime
Bangkok Breaking: Heaven and Hell,5.8, (702),2h 26m,crime
Kahar: Kapla High Council,7.1, (511),1h 42m,crime
Amish Affair,5.5, (210),1h 26m,crime
Gatao: Like Father Like Son,5.7, (262),2h 11m,crime
Zebra,7.2, (3.2K),2h 44m,crime
Dirty Money,5.6, (198),1h 40m,crime
Jog 101,6.6, (502),1h 47m,crime
Dengeler,5.2, (261),2h 3m,crime
Accident or Conspiracy: Godhra,7.4, (791),2h 13m,crime
Serpent's Path,5.8, (311),1h 52m,crime
The Waterboyz,8.0, (94),1h 29m,crime
Conquer: Lahad Datu,6.6, (549),2h,crime
Bermondsey Tales: Fall of the Roman Empire,4.3, (213),1h 39m,crime
The Mick and the Trick,4.8, (84),1h 36m,crime
Anand Sreebala,6.6, (2.5K),2h 14m,crime
Danger in the Dorm,5.0, (165),1h 26m,crime
Best Man Dead Man,6.8, (47),1h 23m,crime
Snatched,6.0, (534),1h 41m,crime
"LSD 2: Love, Sex Aur Dhokha 2",3.8, (2.8K),1h 59m,crime
Bheema,5.7, (974),2h 28m,crime
Lady Scorpions,3.6, (377),1h 41m,crime
PT Sir,6.8, (1.8K),2h 10m,crime
Ugravatara,8.4, (853),2h 2m,crime
10 Days of a Curious Man,5.7, (1.4K),1h 50m,crime
Saindhav,5.0, (1.6K),2h 18m,crime
Valley of the Shadow of Death,6.5, (78),1h 24m,crime
Top Floor,5.9, (62),1h 14m,crime
"MoviePass, MovieCrash",6.7, (2.9K),1h 36m,crime
Andhagan,6.6, (1.2K),2h 22m,crime
Nirangal Moondru,6.1, (561),2h 2m,crime
Lorry Chapter-1,6.2, (2.8K),3h 3m,crime
The Birds Who Fear Death,9.2, (73),1h 42m,crime
Dutch II: Angel's Revenge,6.5, (98),TV-MA,crime
Citizen of a Kind,6.6, (915),1h 54m,crime
Troll Factory,5.8, (494),1h 49m,crime
Oru Nodi,6.7, (518),2h 8m,crime
Killer Babes,3.5, (306),1h 34m,crime
The Plot,4.8, (405),1h 40m,crime
Nahir,4.7, (1.2K),2h 2m,crime
Borderless Fog,5.2, (1.3K),1h 50m,crime
Drive,5.6, (365),1h 30m,crime
Gangs of Godavari,4.9, (920),2h 45m,crime
Rautu Ka Raaz,6.3, (2K),1h 54m,crime
Operation Raavan,7.7, (1.2K),2h 27m,crime
Rakshana,5.5, (1.2K),2h 19m,crime
Red,4.4, (138),1h 54m,crime
Bars,5.8, (26),2h 15m,crime
Untold: The Murder of Air McNair,5.6, (2.2K),57m,crime
Chameleon,5.7, (36),2h 13m,crime
Kaliyugam Pattanamlo,6.6, (2.2K),2h 30m,crime
The Legend of the Vagabond Queen of Lagos,7.8, (42),1h 40m,crime
ChiefsAholic: A Wolf in Chiefs Clothing,6.2, (411),2h 1m,crime
The Bodyguard,6.6, (37),1h 27m,crime
Chris Brown: A History of Violence,5.4, (334),1h 22m,crime
Svemu dodje kraj,6.4, (371),1h 29m,crime
Midas,4.6, (348),1h 25m,crime
Daredevil vs Punisher,6.8, (5),1h 23m,crime
Samandar,7.7, (143),2h 52m,crime
Final Heist,4.4, (157),1h 23m,crime
They Turned Us Into Killers,2.7, (264),1h 26m,crime
Mani nude,6.6, (59),1h 24m,crime
Murder and Cocktails,3.9, (370),1h 28m,crime
The Shadow,6.4, (280),1h 30m,crime
Siragan,7.0, (153),2h 10m,crime
Khameleon,2.4, (6),1h 29m,crime
Loverboy: Emoties Uit,6.4, (548),1h 38m,crime
Silver Star,7.3, (17),1h 42m,crime
Havnaa,7.1, (290),1h 50m,crime
