Movie_name,Rating,Votes,Duration,genre
Miss You,6.1, (3.2K),2h 8m,romance
We're All Gonna Die,8.2, (97),1h 50m,romance
My Future You,7.4, (298),1h 49m,romance
"Love, Divided",6.0, (4.8K),1h 38m,romance
Love Story,5.4, (443),2h 5m,romance
"Hello, Love, Again",6.7, (942),2h 2m,romance
The Holiday Exchange,5.6, (425),1h 30m,romance
Mr. Manhattan,6.8, (478),1h 50m,romance
Five Blind Dates,5.1, (2K),1h 23m,romance
Mai,6.8, (1.6K),2h 11m,romance
Her Story,7.6, (2K),2h 3m,romance
Honeymoonish,5.3, (1.6K),1h 40m,romance
Mr. Bachchan,3.6, (5.3K),2h 30m,romance
When in Rome,6.1, (800),1h 38m,romance
Miracle Mile,7.6, (37),1h 22m,romance
Trisha on the Rocks,5.2, (3K),2h 52m,romance
Romeo,6.1, (1.3K),2h 30m,romance
Wild Wild Punjab,6.2, (16K),1h 49m,romance
Previously Saved Version,5.5, (464),1h 57m,romance
Season of Love,5.0, (420),2h 6m,romance
Umjolo: The Gone Girl,4.4, (288),1h 32m,romance
Christmas at Plumhill Manor,6.1, (506),1h 27m,romance
Ibbani Tabbida Ileyali,7.4, (874),2h 40m,romance
The Lifeguards,3.7, (147),1h 47m,romance
Raseeli Raatein,6.7, (12),1h 31m,romance
Maybe Forever,6.0, (95),1h 11m,romance
Believe in Christmas,6.1, (861),1h 30m,romance
Un/Happy for You,5.7, (416),1h 50m,romance
Samana Sunrise,5.0, (250),1h 40m,romance
Meet Me Next Christmas,5.7, (8.6K),1h 45m,romance
Varshangalkku Shesham,6.6, (4.2K),2h 46m,romance
Perfect Match,6.6, (355),1h 41m,romance
Bigayan,6.2, (46),43m,romance
The Groomsmen: First Look,6.1, (412),1h 22m,romance
Alaap,6.2, (133),2h 25m,romance
Lyubvi ne byvaet?,5.4, (167),1h 45m,romance
Gone Running,7.0, (4.4K),1h 45m,romance
Viva La Vida,7.5, (884),2h 10m,romance
A Circus Tale & a Love Song,5.9, (111),1h 54m,romance
Goyo,6.6, (2.3K),1h 46m,romance
X & Y,8.1, (17),1h 41m,romance
DeAr,5.1, (1.7K),2h 12m,romance
She Taught Love,5.3, (429),1h 42m,romance
Pure Love,7.1, (204),1h 49m,romance
Little Hearts,5.9, (2.6K),2h 16m,romance
Pasutri Gaje,6.0, (355),1h 49m,romance
Elevator,5.2, (185),1h 35m,romance
Marry Christmas,6.3, (67),1h 25m,romance
Shigatsu ni nareba kanojo wa,6.2, (465),1h 48m,romance
Enchanting Christmas,6.3, (366),1h 31m,romance
Roti Kapda Romance,5.8, (2.5K),2h 33m,romance
The Great Gujarati Matrimony,7.7, (95),2h 24m,romance
Happiness Is,3.8, (309),1h 36m,romance
Explosions in My Heart,6.6, (47),1h 45m,romance
"Love, Sitara",5.3, (309),1h 45m,romance
À toute allure,5.4, (232),1h 26m,romance
"LSD 2: Love, Sex Aur Dhokha 2",3.8, (2.8K),1h 59m,romance
Love Me If You Dare,4.3, (483),2h 8m,romance
Azzamine,7.0, (121),1h 44m,romance
"Walter, Grace & The Submarine",9.3, (8),1h 40m,romance
Amar Prem Ki Prem Kahani,4.5, (675),1h 57m,romance
Langue Étrangère,6.6, (579),1h 41m,romance
Stranded Pearl,5.7, (29),1h 30m,romance
Valley of the Shadow of Death,6.5, (78),1h 24m,romance
Karma's a Bitch,4.5, (43),1h 29m,romance
El Roomie,5.8, (315),1h 39m,romance
Skinny Love,5.6, (136),1h 32m,romance
No Pressure,5.1, (1.1K),1h 51m,romance
Kupu-Kupu Kertas,6.5, (224),1h 53m,romance
Honey Money Phony,6.2, (221),1h 55m,romance
A '90s Christmas,6.0, (1.2K),1h 30m,romance
My Boo,6.1, (734),2h 5m,romance
Come Closer,7.0, (298),1h 47m,romance
In Good Hands 2,5.3, (1K),1h 39m,romance
Tendaberry,6.4, (275),1h 55m,romance
Kaaduvetty,3.2, (149),2h 37m,romance
A Brooklyn Love Story,5.3, (114),1h 47m,romance
Fruitcake,5.3, (169),1h 37m,romance
The Groomsmen: Second Chances,6.1, (471),1h 24m,romance
Meet Me in Rome,5.2, (694),1h 25m,romance
The Silence of Marcos Tremmer,5.9, (196),1h 52m,romance
Aaram Aravinda Swamy,9.3, (331),2h 12m,romance
Heavens x Candy,6.0, (51),1h 10m,romance
A Toast to Love,5.7, (150),1h 29m,romance
Anyone But Her,4.9, (294),1h 33m,romance
Love Lies,7.0, (391),1h 54m,romance
Drained,4.5, (327),1h 47m,romance
Dying Briefly,5.9, (55),1h 18m,romance
Fake Boyfriend,9.0, (18),1h 55m,romance
Love Syndrome: The Beginning,6.1, (66),1h 30m,romance
Sevmek Yüzünden,3.6, (663),1h 44m,romance
Love Is Never on Time,8.7, (70),1h 50m,romance
Beauty and the Billionaire: Bali,5.7, (234),1h 31m,romance
Shark Island,3.1, (131),1h 21m,romance
Switch Up,8.6, (30),1h 45m,romance
One Night in Tokyo,7.1, (93),1h 35m,romance
El Hawa Sultan,6.5, (875),2h 16m,romance
Murphy,7.0, (2.4K),2h 16m,romance
The Heartbreak Agency,5.3, (745),1h 34m,romance
Benaam Rishta,6.9, (12),1h 30m,romance
You Are Not Alone,6.0, (76),1h 45m,romance
"Love, Wine & Salt: A Tuscan Romance",5.4, (66),1h 20m,romance
Hold Me Close,4.9, (74),1h 38m,romance
Svemu dodje kraj,6.4, (371),1h 29m,romance
Books & Drinks,5.1, (150),1h 34m,romance
Kisko Tha Pata,6.9, (21),2h 15m,romance
Kacher Manush Dure Thuiya,7.8, (1.2K),2h 24m,romance
Teasing Master Takagi-san Movie,6.6, (352),1h 59m,romance
Verliefd op Bali,5.0, (336),1h 53m,romance
Rajkumar,7.4, (2.7K),2h 25m,romance
Pon Ondru Kanden,5.6, (287),2h,romance
L'heureuse élue,5.5, (378),1h 31m,romance
Game On,5.2, (2.3K),2h 20m,romance
Kill Me If You Dare,4.6, (1.4K),1h 34m,romance
"María, Me Muero",5.2, (120),1h 33m,romance
We Are Faheem & Karun,9.0, (78),1h 21m,romance
Honeko Akabane's Bodyguards,6.1, (48),1h 57m,romance
Across the Sea,6.4, (84),1h 52m,romance
C4 Cinta,7.9, (156),2h 47m,romance
Deyaler Desh,7.3, (161),2h 19m,romance
Sihinayaki Adare,6.5, (197),2h 30m,romance
"It's So Big It Hurts, Black Oppa",5.6, (11),1h 1m,romance
Royal Runaways,8.7, (59),TV-PG,romance
The Everything Pot,7.5, (35),1h 30m,romance
Midwinter,6.5, (60),1h 35m,romance
Oshana,5.7, (801),2h 29m,romance
Maple Leaf Dreams,4.8, (138),1h 41m,romance
The Proud Princess,6.4, (141),1h 24m,romance
A Merry Royal Christmas,5.3, (161),1h 28m,romance
Love Unlike in K-Dramas,6.5, (146),1h 58m,romance
Boys on Film 24: Happy Endings,7.0, (29),2h 54m,romance
Life is Filled with So Much of You,7.2, (76),1h 39m,romance
Forbidden Love,7.8, (31),1h 36m,romance
Alterlove,7.8, (15),1h 30m,romance
The Private Eye,3.7, (163),1h 55m,romance
Albany Road,7.8, (117),2h 15m,romance
Black Owner and Horny College Girls,3.6, (9),1h 5m,romance
Sicilian Holiday,4.9, (24),1h 42m,romance
Sweet Summer Love,6.6, (76),1h 30m,romance
Say a Little Prayer,8.6, (47),1h 43m,romance
Seni Memahami Kekasih,8.0, (64),1h 31m,romance
That Kind of Love,5.7, (339),2h 16m,romance
Looking for Dr. Love,6.0, (135),1h 25m,romance
Under Parallel Skies,5.7, (860),1h 50m,romance
Zenithal,4.9, (110),1h 20m,romance
Yesterday Is Almost Here,8.1, (11),1h 32m,romance
Premalo,7.3, (1.1K),2h 8m,romance
Reloaded 2,7.5, (1.2K),45m,romance
A Bluegrass Christmas,6.0, (246),1h 24m,romance
Christmas on the Ranch,6.0, (139),1h 26m,romance
Oru Kattil Oru Muri,4.6, (64),2h 5m,romance
Bed & Breakfast,6.1, (222),1h 23m,romance
Sihina Nelum Mal,8.1, (36),1h 45m,romance
Momma's Boy,3.8, (49),1h 45m,romance
Heartbreak Motel,7.0, (317),1h 55m,romance
In the Summer Rain,6.6, (19),2h 9m,romance
Ravikula Raghurama,7.9, (2.1K),1h 51m,romance
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,6.0, (85),2h 18m,romance
Morando com o Crush,5.4, (189),1h 30m,romance
Shrek 5: The Contract - A Fan Made Film,7.4, (22),1h 24m,romance
Love... Reconsidered,4.1, (141),1h 28m,romance
Three Secrets,4.1, (52),1h 32m,romance
What Happened in My Black Boyfriend's Room,5.4, (11),1h 2m,romance
Prabuthwa Junior Kalashala,7.0, (2.1K),2h 11m,romance
Joy of Horses,5.5, (177),1h 30m,romance
A European Christmas,4.7, (199),1h 30m,romance
Dhruvathaare,8.0, (649),2h 45m,romance
A Christmas of Wonders,4.9, (130),1h 26m,romance
Dil Kush,8.1, (550),2h 15m,romance
Mann Behka,9.7, (7),1h 17m,romance
Usha Parinayam,9.0, (2.1K),2h 24m,romance
Writing a Love Song,6.7, (195),1h 25m,romance
Election,5.8, (807),2h,romance
Love You to Debt,6.3, (774),2h 15m,romance
Hi Anokhi Gaath,6.8, (84),2h 6m,romance
Bad Boy in Love,8.8, (21),1h 31m,romance
A Soweto Love Story,4.4, (288),1h 41m,romance
Ondu Sarala Prema Kathe,7.5, (724),2h 29m,romance
"Aku Jati, Aku Asperger",7.7, (93),1h 28m,romance
Babli,6.8, (572),2h 14m,romance
A Heart for Christmas,7.6, (102),1h 31m,romance
My Sassy Girl,5.1, (147),1h 57m,romance
Kajolrekha,6.3, (196),2h 36m,romance
Lobola Man,4.5, (215),1h 48m,romance
I Am the Secret in Your Heart,6.1, (219),1h 52m,romance
Who Wants to Marry an Astronaut?,6.9, (19),1h 34m,romance
"Aire, Just Breathe",4.7, (201),1h 38m,romance
Meeting Ms. Leigh,8.8, (82),1h 57m,romance
Dreaming of You,8.4, (56),1h 35m,romance
Valentine's Town,5.2, (204),1h 24m,romance
Lady Outlaw,6.5, (25),1h 44m,romance
Koi wo Shiranai Bokutachi wa,4.9, (9),1h 51m,romance
Pretty Boys,5.4, (35),1h 7m,romance
Kahan Shuru Kahan Khatam,6.0, (3.2K),1h 47m,romance
Christmas in Lagos,4.7, (182),2h,romance
Nado snimat filmy o lyubvi,7.3, (41),1h 13m,romance
"Chances Are, You and I",6.0, (150),2h 12m,romance
Olivia & the Clouds,7.3, (60),1h 21m,romance
Holiday for Hire,5.8, (197),1h 24m,romance
Letters at Christmas,3.6, (178),1h 24m,romance
Ma chi ti conosce,5.8, (145),1h 45m,romance
Moments We Shared,5.4, (130),2h 11m,romance
Emakku Thozhil Romance,4.8, (132),1h 51m,romance
I Brake for Caterpillars,4.2, (30),1h 33m,romance
Noche De Bodas,4.5, (244),1h 30m,romance
The Christmas Brew,5.4, (155),1h 29m,romance
The Architecture of Love,6.9, (511),1h 50m,romance
Shooting My Life's Script,6.2, (344),1h 35m,romance
Greice,6.9, (135),1h 50m,romance
The Mediterranean Sea,7.1, (97),1h 48m,romance
Hearts Creek,5.9, (130),1h 30m,romance
Jingle Bell Love,6.1, (223),1h 21m,romance
Future Date,5.5, (131),1h 22m,romance
Heartsping : Teenieping of Love,7.2, (31),TV-Y,romance
"Goodbye, Farewell",7.8, (14),1h 49m,romance
Rabb Da Radio 3,7.3, (8),2h 2m,romance
Saint Nick of Bethlehem,8.9, (104),1h 33m,romance
Liu mang qu mo shi,5.7, (55),1h 44m,romance
Mi Perfecto Ex,7.6, (19),1h 23m,romance
Yo no soy esa,4.9, (292),1h 35m,romance
Young Lion of the West,5.3, (110),1h 33m,romance
Hrashwo Deergha,7.5, (107),2h 30m,romance
Omenavarkaat,7.0, (203),1h 24m,romance
Last Song for You,7.0, (107),1h 46m,romance
Coven of the Black Cube,7.1, (27),1h 37m,romance
Take Good Care,5.7, (7),1h 41m,romance
Poppay Ki Wedding,8.8, (78),2h 7m,romance
Unarvugal Thodarkadhai,6.3, (53),1h 51m,romance
Onegin,7.0, (1.2K),2h 21m,romance
"Till Then, Hanna!",6.2, (315),1h 50m,romance
Sign Here,6.2, (252),1h 40m,romance
14 Days Love,6.4, (12),1h 52m,romance
Ciao bambino,6.7, (92),1h 40m,romance
O2,6.6, (7.9K),1h 45m,romance
Perdiendo el Juicio,7.7, (21),1h 30m,romance
Juni,7.3, (227),2h 18m,romance
Love Stuck,5.7, (163),1h 56m,romance
Addy Daddy,7.4, (31),1h 58m,romance
My Zombabe,5.0, (94),1h 45m,romance
Pool & Party,2.7, (267),1h 30m,romance
Land of Broken Hearts,6.3, (217),1h 40m,romance
Once Upon A Love Story,7.5, (84),2h 15m,romance
Could Have Waited for August,6.2, (864),1h 52m,romance
Love Mouli,6.5, (87),2h 26m,romance
Traces of Love,6.5, (923),1h 45m,romance
Petta Rap,3.9, (1.7K),2h 3m,romance
The Little Things,7.8, (44),1h 30m,romance
36-24-36,6.0, (243),1h 58m,romance
Powder Pup,6.0, (82),1h 29m,romance
Ahl Al Kahf,5.3, (293),2h,romance
Royal Façade,8.4, (59),1h 35m,romance
Double Blended,5.4, (57),1h 27m,romance
Mendung tanpo udan,6.4, (26),1h 41m,romance
Nikdo me nemá rád,5.6, (46),1h 24m,romance
Khwaabon Ka Jhamela,5.4, (112),1h 53m,romance
Ienai Himitsu,6.8, (78),1h 55m,romance
Soft Love,6.6, (39),1h 54m,romance
Ye xiao nü sheng,7.2, (51),1h 50m,romance
All's Fair in Love,6.6, (18),1h 55m,romance
Jee Ve Sohneya Jee,6.6, (263),2h 21m,romance
Atashi no!,7.4, (6),1h 42m,romance
Heart Strings,5.5, (13),1h 47m,romance
Maru Mann Taru Thayu,7.5, (23),2h 33m,romance
Choices,5.4, (8),1h 27m,romance
Komandir,6.3, (538),2h 11m,romance
Le beau rôle,6.4, (109),1h 24m,romance
Assisting Venus,6.2, (27),1h 40m,romance
Amo-te Imenso,5.7, (90),1h 27m,romance
Keshava Chandra Ramavath,6.7, (79),2h 13m,romance
Yolki 11,4.7, (182),1h 32m,romance
On the Market,5.7, (11),1h 35m,romance
The Property,7.7, (72),1h 50m,romance
Éden & Charlie,8.4, (14),45m,romance
Boomerang,6.5, (17),1h 23m,romance
Gili Gili Raat,5.7, (12),1h 33m,romance
Letuchiy korabl,3.5, (363),1h 40m,romance
Swoon,5.9, (21),1h 23m,romance
Goreyan Naal Lagdi Zameen Jatt Di,7.8, (29),1h 48m,romance
Mercy Killing,8.7, (2.7K),2h 11m,romance
Christmas Overtime,5.6, (27),1h 32m,romance
Morena,5.4, (125),1h 46m,romance
Parahuna 2,6.6, (85),1h 55m,romance
Visal Adare,6.1, (152),2h,romance
Yeni Hayat,2.8, (40),2h 12m,romance
Vidya Vasula Aham,6.5, (93),1h 42m,romance
How to Make Love,2.8, (12),1h 5m,romance
B4S: Truoc Gio Yeu,5.6, (64),1h 37m,romance
Hell City,9.1, (28),1h 30m,romance
Jaunt,8.7, (8),1h 18m,romance
Ayo Balikan,7.0, (32),1h 26m,romance
Tauba Tera Jalwa,5.8, (16),2h 10m,romance
8 Views of Lake Biwa,5.2, (132),2h 6m,romance
ON i Ona,4.6, (84),1h 30m,romance
Lyod 3,6.0, (316),2h 14m,romance
Lyubov Sovetskogo Soyuza,5.1, (292),2h 30m,romance
A Thousand Faces,8.7, (138),1h 25m,romance
Eating Me Up,8.1, (297),1h 44m,romance
Khoka Bhai Tama Pain: A Song Epic,8.8, (161),2h 33m,romance
Wrooklyn Zoo,5.4, (144),2h 9m,romance
Youth in Trouble,7.8, (28),1h 46m,romance
Funmilayo Ransome-Kuti,8.5, (100),1h 31m,romance
A Christmas Dream,4.8, (53),1h 34m,romance
