Movie_name,Rating,Votes,Duration,genre
Dikkie Dik en de Verdwenen Knuffel,7.2, (133),1h 2m,animation
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1, (41),1h 30m,animation
Uma & Haggen: Mitos,7.4, (57),1h 34m,animation
Trapezium,6.2, (168),1h 35m,animation
Code Geass: Rozé of the Recapture - Part 1,7.6, (44),1h 14m,animation
Nature Cat's Nature Movie Special Extraordinaire,7.3, (20),53m,animation
The Umbrella Fairy,5.7, (62),1h 35m,animation
Jon Vardar protiv Galaksijata,8.2, (77),1h 26m,animation
Ya Boy Kongming! Road to Summer Sonia,7.4, (43),1h 59m,animation
Steal the Naughty List,4.8, (128),1h 30m,animation
God with Three Eyes,5.7, (29),1h 52m,animation
Askepote,3.5, (87),1h 12m,animation
Rocky and Bullwinkle,8.6, (17),1h 40m,animation
Bocchi the Rock! Recap Part 2,7.4, (136),1h 17m,animation
PAPmusic - Animation for Fashion,1.0, (172),1h 25m,animation
A Few Moments of Cheers,7.2, (56),1h 8m,animation
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.6, (38),1h 11m,animation
Slocum et moi,7.2, (81),1h 15m,animation
Fuuto PI: Portrait of Kamen Rider Skull,7.3, (52),1h 22m,animation
The Greatest Surf Movie in the Universe,4.7, (9),1h 21m,animation
"Robotia, the Movie",7.3, (33),1h 26m,animation
Mobile Suit Gundam: Silver Phantom,6.1, (13),1h 30m,animation
Hello My Beautiful Creatures,6.8, (173),2h 22m,animation
Jin Ling Yu Mao,7.9, (7),1h 37m,animation
DreadClub: Vampire's Verdict,4.8, (63),1h 28m,animation
Tay 2: Ebabil Takimi,4.9, (46),1h 18m,animation
Il segreto di Liberato,7.3, (230),1h 30m,animation
Code Geass: Rozé of the Recapture: Part 2,7.8, (30),1h 16m,animation
Transformers: 40th Anniversary Event,7.4, (30),1h 36m,animation
Bartali's Bicycle,7.5, (10),1h 20m,animation
Motu Patlu & The Race to the Diamond Valley,7.9, (29),1h 12m,animation
Pleasant Goat and Big Big Wolf: The World Guardians,6.6, (16),1h 36m,animation
Animal Tales of Christmas Magic,6.8, (52),1h 12m,animation
Kuramerukagari,5.8, (89),1h 1m,animation
Dead Dead Demon's Dededede Destruction Zenpen,7.0, (145),2h,animation
The Ballad of Straw Hat Sam,8.5, (13),45m,animation
The Formula for Water,4.6, (38),1h 26m,animation
Meitantei Conan Bâsasu Kaitô Kiddo,6.1, (173),1h 21m,animation
Motu Patlu & The Rise of Zombies,6.9, (17),1h 14m,animation
Sunburnt Unicorn,7.7, (13),1h 21m,animation
Isle: Alpha One,8.7, (8),1h 37m,animation
Code Geass: Rozé of the Recapture: Part 3,7.4, (27),1h 16m,animation
Masha i Medved v kino: Park chudes,6.9, (20),58m,animation
Riki Rhino: The Bird Kingdom,5.1, (25),1h 49m,animation
Bizarros Peixes das Fossas Abissais,7.6, (15),1h 15m,animation
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.5, (11),50m,animation
Pui Pui Molcar the Movie: Molmax,6.4, (10),1h 9m,animation
Code Geass: Rozé of the Recapture: Part 4,6.7, (17),1h 10m,animation
Nie Xiaoqian,6.2, (18),1h 52m,animation
Yumi's Cells: The Movie,6.2, (53),1h 33m,animation
Ganbatte Ikimasshoi,5.2, (14),1h 35m,animation
Rocket Club: Across the Cosmos,7.5, (21),1h 8m,animation
Luntik. Vozvrashchenie domoy,6.4, (82),TV-Y,animation
Balentes,7.4, (8),1h 10m,animation
